ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Corpus_Reference,Sense_IDs,alt_translation1
XV000160,Daakaka,maa mwe kuowilye na lisepsep mwe ane naten,maa	mwe	kuowilye	na	lisepsep	mwe	ane	naten,dove	$real	know	$comp	lisepsep	$real	eat	child.of-$3sg,the emerald dove knew that the lisepsep had eaten her child,,,,,SN000689,sotleg i save se lisepsep i kakae pikinini blong hem
XV000161,Daakaka,lee nyoo yam du kuukuu,lee	nyoo	ya=m	du	kuu-kuu,tree	$3pl	$3pl=$real	stay	$redup-move,the trees are moving,,,,,SN000696,ol wud oli stap muvmuv
XV000162,Daakaka,kyaate ó,kyaate	ó,scoop.out	coconut,scoop out copra,,,,,SN000699,selaotem kopra
XV000163,Daakaka,eye kyen swa sa ngetak,eye	kyen	swa	sa	nge=tak,knife	sharp	one	$top	3s=$dem.prox,this is a sharp knife,,,,,SN000701 ; SN001613,wan sap naef hem ia
XV000164,Daakaka,betuk mwe kyenkyen,bet-uk	mwe	kyenkyen,head.of-$1sg	$real	sore,my head is hurting,,,,,SN000702,hed blong mi i soa
XV000165,Daakaka,apyang mwe en kyenkyen,apyang	mwe	en	kyenkyen,fire	$real	burn	sore,the fire is burning hot,,,,,SN000702,faea i kakae i hot
XV000166,Daakaka,meas mwe kyer ten,meas	mwe	kyer	ten,cold	$real	bite	very,"(lit: ""the cold bites"") it is cold",,,,,SN000704,ples i kolkol tumas
XV000167,Daakaka,barar mwe kyerkyer,barar	mwe	kyer-kyer,pig	$real	$redup-bite,the pig bites,,,,,SN000704,pig i save kakae man
XV000168,Daakaka,bura mwe kyer,bura	mwe	kyer,blood	$real	clot,the blood has clotted,,,,,SN000221 ; SN000705,blad i stak
XV000169,Daakaka,kom liye mubuo kom kyervine wedelies,ko=m	liye	mubuo	kom	kyervi=ne	wedelies,$2sg=$real	take	meat	$2sg=$real	mix=$trans	rice,you take some meat and eat it with raes,,,,,SN000710,"yu stikim mit, kakae wetem raes"
XV000170,Daakaka,kyervine daa myane Bislama,kyervi=ne	daa	myane	Bislama,mix=$trans	vernacular	with	Bislama,mix the local vernacular with Bislama,,,,,SN000710,mixim lanwij wetem Bislama
XV000171,Daakaka,yuk mwe kyeskyes mu vu,yuk	mwe	kyes-kyes	mu	vu,laplap	$real	$redup-sweet	$real	good,the laplap tastes really sweet,,,,,SN000711,laplap i swit gud
XV000172,Daakaka,kyeskyes vyaa,kyeskyes	vyaa,wash	hand,wash hands,,,,,SN000712 ; SN001976,wasem han
XV000173,Daakaka,kyeskyes kaleko,kyeskyes	kaleko,wash	cloth,"wash a piece of cloth, clothes",,,,,SN000712,wasem kaliko
XV000174,Daakaka,em entak barvinye mwe kukyu,em	en=tak	barvinye	mwe	ku-kyu,house	$dem=$dem.prox	grass	$real	$redup-kyu,this house is surrounded by grass,,,,,SN000715,"haos ya, gras i raonem"
XV000175,Daakaka,temeli ente mwe laplap,temeli	en=te	mwe	laplap,child	$dem=$dem.prox	$real	wear.loincloth,this child is wearing diapers,,,,,SN000731,pikinini ia i karem nambas
XV000176,Daakaka,nam le mo nok,na=m	le	mo	nok,$1sg=$real	marry	$real	finish,I am already married,,,,,SN000734,mi mared finis
XV000177,Daakaka,nuk mwe lili,n-uk	mwe	lili,face.of-$1sg.poss	$real	drunk,"I am drunk (lit. ""my face is drunk"")",,,,,SN000773,mi drong
XV000178,Daakaka,nam tease em te gyesliline,na=m	tease	em	te	gyes-lili=ne,$1sg=$real	undo	house	$disc	work-$res.back=$trans,I undid the house and put it back together,,,,,SN000774 ; SN001676,mi karemaot haos afta wokem bakegen
XV000179,Daakaka,lilisi ave,lilisi	ave,seed.of	mountain.apple,stone of the mountain apple,,,,,SN000775,sid blong nakavika
XV000180,Daakaka,lilisi da,lilisi	da,seed.of	lychee,stone of the native lychee,,,,,SN000775,sid blong nandao
XV000181,Daakaka,limyaek na mu vu,limyaek	na	mu	vu,night	$comp	$real	good,good night,,,,,SN000778,gud naet
XV000182,Daakaka,vyaven swa mo kop te vyan ka we lingling,vyaven	swa	mo	kop	te	vyan	ka	we	lingling,woman	one	$real	full	$disc	go	$mod.rel	$pot	give.birth,a woman is pregnant and is going to give birth,,,,,SN000779,wan woman i gat bel afta i go blong bonem
XV000183,Daakaka,yam ling daa myane nyoo,ya=m	ling	daa	myane	nyoo,$3pl=$real	put	word	with	3p,"they held council, had a discussion",,,,,SN000781,oli putum toktok wetem olgeta
XV000184,Daakaka,temeli bwe lingkilye nye,temeli	bwe	lingkilye	nye,child	$cont	put.back	$1sg,"the child is taking my place, is continuing the family line",,,,,SN000784,pikinini i tekem ples blong mi
XV000185,Daakaka,wye mwe lip,wye	mwe	lip,water	$real	drip,water is running,,,,,SN000788,"wota i kavsaed, i ron"
XV000186,Daakaka,kop lisye vyam te tan we tesi,ko=p	lisye	vy-am	te	tan	we	tesi,$2sg=$pot	rub.clean	hand.of-$2sg	$disc	earth	$pot	fall,rub your hands together so the earth will come off,,,,,SN000795,bae yu rabem han blong yu bae ol graon bae fulfuldaon
XV000187,Daakaka,kop liye buk ente me,ko=p	liye	buk	en=te	me,$2sg=$pot	carry	book	$dem=$dem.prox	come,bring me this book,,,,,SN000800,karem buk ya i kam
XV000188,Daakaka,nam liyes mwi towo ten,na=m	liyes	mw=i	towo	ten,$1sg=$real	suffer	$real=$cop	big	very,I am suffering greatly,,,,,SN000803 ; SN001795,mi safa plante tumas
XV000189,Daakaka,map mwe lop ma ge myane kumala,map	mwe	lop	ma	ge	myane	kumala,chestnut	$real	soft	$real	be.like	with	sweet.potato,the chestnut is soft like a sweet potato,,,,,SN000810,namambe i soft olsem kumala
XV000190,Daakaka,myaa mu lu/lumu,myaa	mu	lu/lumu,hunger	$real	be.brutal,there was a famine,,,,,SN000814,hanggri i kilim
XV000191,Daakaka,kuli mwe kyer lumu barar,kuli	mwe	kyer	lumu	barar,dog	$real	bite	be.brutal	pig,the dog bit the pig to pieces,,,,,SN000814,dog i kakae brekbrekem pig
XV000192,Daakaka,luwun temeli mu luk,luw-un	temeli	mu	luk,tooth.of-$3sg	temeli	$real	grow,the tooth of the child has grown,,,,,SN000816,tut blong pikini i gru
XV000193,Daakaka,ivyo mu luk,ivyo	mu	luk,cabbage	$real	grow,the cabbage is old enough for eating,,,,,SN000816,kabis i redi blong kakae
XV000194,Daakaka,luusye,luu-sye,root.of-$3.poss,its root,,,,,SN000823,rus blong hem
XV000195,Daakaka,luu lewotop,luu	lewotop,root.of	breadfruit.tree,root of the breadfruit tree,,,,,SN000823,rus blong bredfrut tri
XV000196,Daakaka,luwun buo,luw-un	buo,tooth.of-$3sg	boar,tooth of a boar,,,,,SN000825,tut blong man pig
XV000197,Daakaka,nam bwe luwu biyep,na=m	bwe	luwu	biyep,$1sg=$real	$cont	erect	fence,I'm building a fence,,,,,SN000827,mi stap stanemap fanis
XV000198,Daakaka,lusu lóó,lusu	lóó,root.of	coconut.palm,root of a coconut palm,,,,,SN000828,rus blong stampa blong kokonat
XV000199,Daakaka,lye vyap myató,lye	vyap	myató,leg.of	venerable.woman	old,the leg of an old woman,,,,,SN000832,leg blong olfala woman
XV000200,Daakaka,lyen yaapu,ly-en	yaapu,leg.of-$3sg.poss	big.man,male lineage,,,,,SN000831,laen blong man
XV000201,Daakaka,nam gumkilye ok belet mwe lyoo,na=m	gum-kilye	ok	belet	mwe	lyoo,$1sg=$real	grab-$res.miss	$1sg.poss	plate	$real	break,I let my plate fall down and it broke,,,,,SN000836,mi mestem pelet blong mi i brok
XV000202,Daakaka,lyunglyung kopkop,lyung-lyung	kopkop,$redup-wash	entire,wash the entire body,,,,,SN000837,wasem ful bodi
XV000203,Daakaka,maawane ngok,maawane	ngok,spoil	$2sg,sorry [an expression of empathy],,,,,SN000849,"i spoilem yu, sori long yu"
XV000204,Daakaka,myaop mwe maawane ar mees,myaop	mwe	maawane	ar	mees,volcano	$real	spoil	$1pl.in	food,the volcano has spoiled our food,,,,,SN000849,volkeno i spoelem ol kakae blong yumi
XV000205,Daakaka,webung mwe vyan ma maga,webung	mwe	vyan	ma	maga,day	$real	go	$real	quick,the days have passed quickly,,,,,SN000852,taem i pas hariap
XV000206,Daakaka,myanok ente ka we map wa maga,myanok	en=te	ka	we	map	wa	maga,wound	$dem=$dem.prox	$mod.rel	$pot	heal	$pot	quick,this sore will heal quickly,,,,,SN000852 ; SN000865,soa ia bae i gud kwiktaem
XV000207,Daakaka,vyam ma meda,vy-am	ma	meda,hand.of-$2sg.poss	$real	bleed,your hand is bleeding,,,,,SN000884 ; SN001973,han blong yu i blad
XV000208,Daakaka,ó ma medap,ó	ma	medap,coconut	$real	fall,a coconut has fallen down,,,,,SN000885 ; SN002211,kokonat i fuldaon
XV000209,Daakaka,sun metan ma medap,sun	met-an	ma	medap,tear.of	eye.of-$3sg.poss	$real	fall,his tears are falling,,,,,SN000885 ; SN001523,wota blong ae blong hem i fuldaon
XV000210,Daakaka,lee na ma medar,lee	na	ma	medar,tree	$comp	$real	rot,rotten wood,,,,,SN000886,wud we i rot
XV000211,Daakaka,ma tavya pelyen meerin,ma	tavya	pelyen	meerin,$real	get.up	moring	long.time,she got up in the early morning,,,,,SN000892,hem i girap long moning eli
XV000212,Daakaka,meerin nyoo,meerin	nyoo,long.time	$3pl,"the ancients, our ancestors",,,,,SN000892,olgeta blong bifo
XV000213,Daakaka,vyanten melipro swa sa ngetak,vyanten	melipro	swa	sa	nge=tak,person	lax	one	$top	$3sg=$dem.prox,this is a restful man,,,,,SN000897,wan slak man hem ia
XV000214,Daakaka,"nge mwi vyanten melumlum swa, to pwe oko, pwerpwer kyun","nge	mw=i	vyanten	melumlum	swa,	to	pwe	oko,	pwer-pwer	kyun",$3sg	$real=$cop	person	quiet	one	$neg.real	$cont	walk	$redup-stay	just,"He is a restful man, he doesn't walk around, he just stays at home",,,,,SN000901 ; SN001145 ; SN001289,"hem i wan man we i kwaet, i no wokbaot, i stap nomo long haos"
XV000215,Daakaka,meuan na nenyu te melumlum,meu=an	na	nenyu	te	melumlum,live=$nom	$comp	yesterday	$dist	quiet,the life of befor was restful,,,,,SN000901 ; SN001670,"laef blong bifo i kwaet, i isi"
XV000216,Daakaka,atak ma memeop mu vu nge,atak	ma	memeop	mu	vu	nge,her	$real	even	$real	good	$3sg,it's nice and even here,,,,,SN000904,long ples ia i level gud
XV000217,Daakaka,vyanten ente ma ka punan swa mwi mena,vyanten	en=te	ma	ka	punan	swa	mw=i	mena,person	$dem=$dem.med	$real	say	story	one	$real=$cop	funny,this man has told a funny story,,,,,SN000905,man ia i talem wan stori i fani
XV000218,Daakaka,vyanten mena swa sa ngetak,vyanten	mena	swa	sa	nge=tak,person	funny	one	$top	$3sg=$dem.prox,this is a funny man,,,,,SN000905,wan fani ma hem ia
XV000219,Daakaka,ma sóró yan daa ma mesaa,ma	sóró	yan	daa	ma	mesaa,$real	speak	on	language	$real	clear,She speaks the language clearly,,,,,SN000917,hem i toktok long lanwij i klia
XV000220,Daakaka,mesaa ne em,mesaa	ne	em,open.space	$trans	house,the space in front of the entrance of a house,,,,,SN000918,ples long medel afsaed long haos
XV000221,Daakaka,degi mwi mesean swa,degi	mw=i	mese=an	swa,dengue	$real=$cop	sick=$nom	one,dengue is a disease,,,,,SN000920,dengue hem i wan sik
XV000222,Daakaka,vyanten swa ma liye mesean ente,vyanten	swa	ma	liye	mese=an	en=te,person	one	$real	carry	sick=$nom	$dem=$dem.med,someone caught that disease,,,,,SN000920,wan man i karem sik ya
XV000223,Daakaka,kulye metone,kulye	metone,startle	from,get a fright from,,,,,SN000937,sek from
XV000224,Daakaka,kuo metone,kuo	metone,run	from,run from sth.,,,,,SN000937,ronwe from
XV000225,Daakaka,nam ongane ka nap seaa metone ngok,nam	ongane	ka	na=p	seaa	metone	ngok,$1sg=$real	feel	$comp	$1sg=$pot	disappear	from	$2sg,I feel that you are going to lose me (I am going to die),,,,,SN000937,mi harem se bae mi lus long yu (bae mi ded)
XV000226,Daakaka,apyang mwe en metone lyem,apyang	mwe	en	metone	ly-em,fire	$real	eat	from	leg.of-$2sg.poss,the fire has burned your leg,,,,,SN000937,faea i kakae long leg blong yu
XV000227,Daakaka,Kom meu kyun?,Ko=m	meu	kyun?,$2sg=$real	live	just,(as a greeting) Are you alright?,,,,,SN000939,Yu oraet?
XV000228,Daakaka,milisye,mili-sye,place.of-$3.poss,it's place,,,,,SN000944,ples blong hem
XV000229,Daakaka,mili mok esye,mili	m-ok	esye,place.of	$cl1-$1sg.poss	spoon,the place of my spoon,,,,,SN000944,ples blong spun blong mi
XV000230,Daakaka,vice president ma liye mili president,vice	president	ma	liye	mili	president,vice	president	$real	carry	place.of	president,the vice president takes the place of the president,,,,,SN000944,vice president i tekem ples blong president
XV000231,Daakaka,teenem mwe pwer milye yan weu,teenem	mwe	pwer	milye	yan	weu,village	$real	stay	on.top	on	hill,the house is on the mountain,,,,,SN000950,house i stap antap long mountain
XV000232,Daakaka,wye ma mimilye,wye	ma	mimilye,water	$real	tasteless,water tastes neutral,,,,,SN000951,wota i no gat test
XV000233,Daakaka,kom min ti mo nok?,ko=m	min	ti	mo	nok?,$2sg=$real	drink	tea	$real	finish?,Have you had tea already / Have you finished breakfast?,,,,,SN000952,Yu dring ti finis?
XV000234,Daakaka,miye si?,miye	si?,tongue.of	who?,whose tongue?,,,,,SN000972 ; SN001437,tang blong hu?
XV000235,Daakaka,wotop ente mwe pa mwe mokote,wotop	en=te	mwe	pa	mwe	mokote,breadfruit	$dem=$dem.prox	$real	bear.fruit	$real	really,this breadfruit has really a lot of fruit,,,,,SN000978,bredfrut ia i karem frut i meksave
XV000236,Daakaka,vyortutu mwe moos,vyortutu	mwe	moos,stone	$real	slippery,the stone is slippery,,,,,SN000986,ston i glis
XV000237,Daakaka,mop swa sa mwe tung me te ós ka we kin,mop	swa	sa	mwe	tung	me	te	ós	ka	we	kin,cloud	one	$top	$real	dark	come	$disc	rain	$mod.rel	$pot	fall,"a dark cloud is coming, rain will fall",,,,,SN000987 ; SN001820,"wan klaod i dak i kam, bae ren i foldaon"
XV000238,Daakaka,or mwe mop,or	mwe	mop,place	$real	be.cloudy,it's cloudy,,,,,SN000988,"ples i dak, i gat klaod"
XV000239,Daakaka,ebyate mwe mop,ebyate	mwe	mop,moon	$real	be.cloudy,the moonlight is dull,,,,,SN000988,mun i no saen gud
XV000240,Daakaka,nam moseaa mok em,nam	moseaa	m-ok	em,$1sg=$real	finish	$cl1-$1sg.poss	house,I have finished (building) my house,,,,,SN000989,mi flatem haos blong mi
XV000241,Daakaka,nam moseaa sok gyesan,na=m	moseaa	s-ok	gyes=an,$1sg=$real	finish	$cl3-$1sg.poss	work=$nom,I have completed my work,,,,,SN000989,mi flatem wok blong mi
XV000242,Daakaka,kop motitiye nye,ko=p	motitiye	nye,$2sg=$pot	forgive	$1sg,sorry (forgive me),,,,,SN000991,sori (yu fogivim mi)
XV000243,Daakaka,mu mu mu,mu	mu	mu,quake	$real	quake,the earth quakes,,,,,SN000994,graon i sek
XV000244,Daakaka,kop vyan mwede?,ko=p	vyan	mwede?,$2sg=$pot	go	or?,Are you coming or not?,,,,,SN001004,bae yu go o?
XV000245,Daakaka,timyan ka we vyose dom swa mwede wi evis swa,timy-an	ka	we	vyose	dom	swa	mwede	wi	evis	swa,father.of-$3sg.poss	$mod.rel	$pot	carry	yam	one	or	$pot	banana.bundle	one,the father will bring a yam or a banana,,,,,SN001004,tati bae i karem wan yam o bae i wan bandel banana
XV000246,Daakaka,vyam na mwei,vy-am	na	mwei,hand.of-$2sg	$comp	left,your left hand,,,,,SN001005,lef han blong yu
XV000247,Daakaka,vyanten ente vyan mwi mwei,vyanten	en=te	vyan	mw=i	mwei,person	$dem=$dem.med	go	$real=$cop	left,this man is left-handed,,,,,SN001005,man ia i yusum left han blong raetem
XV000248,Daakaka,wedelies mwelili mwe pwer,wedelies	mwelili	mwe	pwer,rice	small	$real	stay,there is still a little rice,,,,,SN001006,smol raes i stap
XV000249,Daakaka,nam sóró mwelili myane nge,nam	sóró	mwelili	myane	nge,$1sg=$real	speak	small	with	$3sg,I talked a little with her/him,,,,,SN001006 ; SN001581,mi toktok smol wetem
XV000250,Daakaka,yam oko mwes kyun saka yan kyu rapa,ya=m	oko	mwes	kyun	saka	ya=n	kyu	rapa,$3pl=$real	walk	$res.nothing	just	$mod.neg	$3pl=$neg.real	surround	shoe,"They walk around barefoot, they don't wear shoes.",,,,,SN001008 ; SN001145 ; SN001332 ; SN001358,"oli wokbaot nating, oli no karem raba"
XV000251,Daakaka,nam gene mwes kyun,nam	gene	mwes	kyun,$1sg=$real	do	$res.nothing	just,I'm not getting anything done here,,,,,SN001008,mi mekem wan samting nating nomo
XV000252,Daakaka,to ka ne gyes mwes,to	ka	ne	gyes	mwes,$neg.real	say	$neg.pot	work	$res.nothing,he's not going to work for free,,,,,SN001008,bae no wok i fri (bae i mas gat mani)
XV000253,Daakaka,myaa ma ate nye,myaa	ma	ate	nye,hunger	$real	bite	$1sg,I'm hungry (lit. `hunger bites me'),,,,,SN001011,mi hanggri
XV000254,Daakaka,myadi vis,myadi	vis,shoot.of	banana,banana shoot,,,,,SN001014,sut blong banana
XV000255,Daakaka,or mwe myaek,or	mwe	myaek,place	$real	be.night,it is night,,,,,SN001015,"tudak, ples i tudak"
XV000256,Daakaka,yen myaek,yen	myaek,in	night,in the night,,,,,SN001016,long naet
XV000257,Daakaka,poo yan myage,poo	yan	myage,climb	on	myage.platform,perform the rite described above (lit. `to go onto the myage platform'),,,,,SN001021 ; SN001258,claem antap long bed ia
XV000258,Daakaka,mees myarmyar,mees	myar-myar,food	$redup-be.done,underdone food,,,,,SN001036,kakae we i no dan
XV000259,Daakaka,oko myar,oko	myar,walk	$res.aimlessly,wander aimlessly,,,,,SN001038,wokbaot kranki
XV000260,Daakaka,nam en mees myar,na=m	en	mees	myar,$1sg=$real	eat	food	random,I'm eating this and that / whatever is there,,,,,SN001040,mi kakae olbaot
XV000261,Daakaka,vyanten myar swa sa ngetak,vyanten	myar	swa	sa	ngetak,person	selfish	one	$top	$3sg=$dem.prox,this is a selfish man,,,,,SN001039,wan man we i selfis hem ia
XV000262,Daakaka,tes mwe myas,tes	mwe	myas,sea	$real	dry,the tide is low,,,,,SN001045 ; SN001712,solwota i drae
XV000263,Daakaka,webir mwe myató,webir	mwe	myató,taro	$real	old,the taro is old enough to be eaten,,,,,SN001046,taro i redi blong kakae
XV000264,Daakaka,vis myen,vis	myen,banana	ripe,ripe banana,,,,,SN001048,raef banana
XV000265,Daakaka,mwe myor,mwe	myor,$real	exact,"that's ok, that's good",,,,,SN001050,i stret
XV000266,Daakaka,naarop myali nyoo yam nii,naarop	myali	nyoo	ya=m	nii,during.the.day	red.eyed.crab	$3pl	$3pl=$real	hide,during the day the red-eye crabs hide,,,,,SN001059,delaet ol red-ae-krab i stap haed
XV000267,Daakaka,uluk mwe nek,ul-uk	mwe	nek,skin.of-$1sg.poss	$real	fear,I'm frightened,,,,,SN001075 ; SN001888,mi fraet
XV000268,Daakaka,bósu mwe neknek,bósu	mwe	nek-nek,cat	$real	$redup-fear,"the cat is shy, afraid of people",,,,,SN001075,"puskat i fraet (long ol man), i wael"
XV000269,Daakaka,nuk mwe tetekyer,n-uk	mwe	te-tekyer,face.of-$1sg.poss	$real	$redup-rough,my face has rough skin (as from drinking kava),,,,,SN001119,fes i brok
XV000270,Daakaka,nuk mwe pyó,n-uk	mwe	pyó,face.of-$1sg.poss	$real	white,my face is white,,,,,SN001119 ; SN001328,fes i waet
XV000271,Daakaka,neti maa,neti	maa,child.of	dove,child of the emerald dove,,,,,SN001081,pikinini blong sotleg
XV000272,Daakaka,nin meuan se yaapu,nin	meu=an	s-e	yaapu,spirit.of	live=$nom	$cl3-$al.s	big.man,the spirit of God,,,,,SN001107,speret blong god
XV000273,Daakaka,nya syan,nya	syan,$3d	other,the other one,,,,,SN001121,
XV000274,Daakaka,nye san taata,nye	s-an	taata,aunt	$cl3-$3sg.poss	father,his father's aunt,,,,,SN001123 ; SN001603,anti blong papa blong hem
XV000275,Daakaka,kuli ente mwe nyun ane bósi ne barar,kuli	en=te	mwe	nyun	ane	bósi	ne	barar,dog	$dem=$dem.prox	$real	startle	$trans	bone	$trans	pig,the dog was dazzled by the bone of the pig,,,,,SN001129,dog ia i sek long bun blong pig
XV000276,Daakaka,nam ongane myar nyup,na=m	ongane	myar	nyup,$1sg=$real	feel	eye	sleep,I feel sleepy,,,,,SN001130,mi wantem silip
XV000277,Daakaka,ngivi barar,ngivi	barar,skin	pig,skin a pig,,,,,SN001093,skinim pig
XV000278,Daakaka,ngulye lee ne or wa mwelili,ngulye	lee	ne	or	wa	mwelili,cut.to.pieces	tree	$trans	place	$pot	small,cutting the trees of a future garden into pieces,,,,,SN001097,katem ol tri long karen i kam smolsmol
XV000279,Daakaka,ngulye op,ngulye	op,cut.to.pieces	firewood,cut firewood,,,,,SN001097 ; SN001168,katem faeawud
XV000280,Daakaka,ok bosi,ok	bosi,$1sg.poss	chisel,my copra chisel,,,,,SN001142,skru blong mi
XV000281,Daakaka,ma oko yan vyap myató swa te mwe vyan pyan opital,ma	oko	yan	vyap	myató	swa	te	mwe	vyan	pyan	opital,$real	walk	on	fish	stonefish	one	$disc	$real	go	under	hospital,he stepped onto a stonefish and went to the hospital,,,,,SN001145 ; SN001148,hem i wokbaot i stanap long wan stonfis afta i go long hospital
XV000282,Daakaka,or mwe yuop,or	mwe	yuop,place	$real	dawn,it's dawn,,,,,SN001170,delaet
XV000283,Daakaka,or mwe myaek,or	mwe	myaek,place	$real	be.night,it's dark,,,,,SN001170,ples i dak
XV000284,Daakaka,or bwe myaek,or	bwe	myaek,place	$cont	be.night,it's getting dark,,,,,SN001170,ples i stap kam tudak
XV000285,Daakaka,or mwe dyu,or	mwe	dyu,place	$real	be.empty,there is no one here,,,,,SN001170,i no gat man
XV000286,Daakaka,ko bwe gene ormwes kyun ate!,ko	bwe	gene	ormwes	kyun	ate!,$2sg	$cont	do	nothing	just	here,you're just being useless here!,,,,,SN001172,yu stap mekem nating nomo!
XV000287,Daakaka,óp ane Anja ma tiye ansi,óp	ane	Anja	ma	tiye	ansi,op.feeling	$trans	Anja	$real	hit	1pc.in,we feel fatigue because Anja left (lit. `the op of Anja is hitting us'),,,,,SN000038 ; SN002225,yu mi harem sori from Anja i go stap long wan narafala ples
XV000288,Daakaka,vis mwe pa,vis	mwe	pa,banana	$real	bear.fruit,the banana palms are bearing fruit,,,,,SN001182 ; SN001953,kakae blong banana i kam aot
XV000289,Daakaka,kop pakuli syuksyuk,ko=p	pakuli	syuksyuk,$2sg=$pot	pick.up	rubbish,pick up the trash,,,,,SN001187 ; SN001575,pikim ap doti
XV000290,Daakaka,nam pakuon ane sok too,na=m	pakuon	ane	sok	too,$1sg=$real	work.hard	$trans$	cl3-$1sg.poss	garden,I work hard in my garden,,,,,SN001188 ; SN001777,mi wok had long garen blong mi
XV000291,Daakaka,lee ente mwi pan,lee	en=te	mw=i	pan,tree	$dem=$dem.prox	$real=$cop	forked,this tree branches out,,,,,SN001192,tri ia i fok
XV000292,Daakaka,mwe pasane eye bwer yan silee,mwe	pas=ane	eye	bwer	yan	silee,$real	thrust=$trans	knife	stay	on	table,he thrust a knife into the table,,,,,SN001196,hem i sperem naef i stanap long tebol
XV000293,Daakaka,paskate etep,pas-kate	etep,thrust-$res.tight	post,,,,,,SN001199,"ramem post i go long graon, bae graon i holem"
XV000294,Daakaka,"daa na yam yurmiline mo nok, a mwe peirtase","daa	na	ya=m	yurmiline	mo	nok,	a	mwe	peir-tase",language	$comp	$3pl=$real	forget	$real	finish	but	$real	dig.out-$res.again,"the language which they had already forgotten, she digged it out again",,,,,SN001204 ; SN001205 ; SN001649,"lanwij we olgeta i fogetem finis, hem i digim i kam bak bakegen"
XV000295,Daakaka,pepelyen na tu vu,pepelyen	na	tu	vu,morning	$comp	$dist	good,good morning,,,,,SN001213 ; SN001806,gud moning
XV000296,Daakaka,nam ongane meas mwe kyer te nam bwe pepyap,na=m	ongane	meas	mwe	kyer	te	na=m	bwe	pepyap,$1sg=$real	feel	cold	$real	bite	$disc	$1sg=$real	$cont	shiver,I feel cold so I shiver,,,,,SN001215 ; SN001673,mi harem kolkol ale mi sek
XV000297,Daakaka,kom peten,ko=m	peten,$2sg=$real	be.true,you're right,,,,,SN001226,yu tru
XV000298,Daakaka,kop piiane kyesbung swa wi sok,ko=p	piiane	kyesbung	swa	wi	s-ok,$2sg=$pot	perform.magic	sweetmouth.rite	one	$pot	$cl3-$1sg.poss,please make me a `sweetmouth' (see kyesbung),,,,,SN001230,bae yu mekem wan switmaot blong mi
XV000299,Daakaka,Wotop ma pini pwesye nyoo,Wotop	ma	pini	pwesye	nyoo,breadfruit	$real	fill	branch	$3pl,All the branches are full of bredfruit,,,,,SN001236,evri han i karem bredfrut
XV000300,Daakaka,Mees mwe pini tebol,Mees	mwe	pini	tebol,food	$real	full	table,The table is entirely covered with food,,,,,SN001236,Food i kaverem ap evri tebol
XV000301,Daakaka,or pirpir,or	pirpir,place	slanted,a slope,,,,,SN001238,ples we i no level
XV000302,Daakaka,aua mwe pisi lee,aua	mwe	pisi	lee,rope	$real	fasten	tree,the rope is fastened to a tree,,,,,SN001241,rop i fas long wan tri
XV000303,Daakaka,"sok sesear mwe sanga ten, sok dep ma pisi","s-ok	sesear	mwe	sanga	ten,	s-ok	dep	ma	pisi","$3cl-$1sg.poss	clothes	$real	bad	very,	$cl3-$1sg.poss	snot	$real	fasten","my clothes are really bad, my snot sticks to them",,,,,SN001241 ; SN001364,"ol klos blong mi i nogud tumas, wota blong nus blong mi i fas long hem"
XV000304,Daakaka,vyanten ente ma popopane san ebe nyoo,vyanten	en=te	ma	popopane	s-an	ebe	nyoo,person	$dem=$dem.med	$real	confess	$cl3-$3sg.poss	sin	$3pl,this man has confessed his sins,,,,,SN001259,man ia i talemaot ol sin blong hem
XV000305,Daakaka,nam pupuluk mwe sikya sungavi,nam	pu-puluk	mwe	sikya	sungavi,$1sg=$real	$redup-count	$real	touch	ten,I counted to ten,,,,,SN001267 ; SN001441 ; SN001527,mi kaontem kasem ten
XV000306,Daakaka,vyap myató nyoo yam vyan ane punguoran etes,vyap	myató	nyoo	ya=m	vyan	ane	punguor=an	etes,venerable.woman	old	$3pl	$3pl=$real	go	$trans	look.for.shellfish=$nom	at.the.sea,the old women are going to collect shellfish on the reef.,,,,,SN001275,ol olfala woman oli go blong wokbaot long rif blong pikimap ol sel mo ol krab
XV000307,Daakaka,bankyen mu puo,bankyen	mu	puo,mosquito	$real	$be.plentiful,there are many mosquitos,,,,,SN001278,mostik i fulap
XV000308,Daakaka,ko bwet me puontak?,ko	bwet	me	puon=tak?,$2sg	$cos	come	$fut.again=$dem.prox?,Have you arrived only now? (You are late),,,,,SN001280,yu kam jes nao?
XV000309,Daakaka,ma pupuop yuk vis mo nok ka si wane,ma	pupuop	yuk	vis	mo	nok	ka	si	w=ane,$real	open	laplap.dish	banana	$real	finish	$mod.rel	$1pc.in	$pot=eat,she has already opened the banana laplap for us to eat,,,,,SN001283 ; SN001438,hem i openem laplap banana finis bae yumi kakae
XV000310,Daakaka,vyanten puputawye swa sa ngetak,vyanten	puputawye	swa	sa	ngetak,person	unreliable	one	$top	$3sg=$dem.prox,this is an unreliable man,,,,,SN001284,wan man we i stap mekem ol samting olbaot hem ia
XV000311,Daakaka,gyesan entak mwi medu pwengpwenges,gyes=an	en=tak	mw=i	medu	pweng-pwenges,work=$nom	$dem=$dem.prox	$real=$cop	back	$redup-sore,this work makes the back hurt,,,,,SN001293,"wok ya, bak i save soa"
